date_time,open,high,low,close,volume
05-08-2023,22.8,22.94,22.23,22.67,188385.342
06-08-2023,22.67,23.46,22.6,23.2,253459.11
07-08-2023,23.2,23.66,22.32,23.12,306302.841
08-08-2023,23.12,24.78,23.03,24.22,430097.937
09-08-2023,24.22,24.99,24.1,24.39,511149.26
10-08-2023,24.39,24.89,24.13,24.63,257523.779
11-08-2023,24.63,24.93,24.36,24.63,218808.208
12-08-2023,24.63,25.24,24.4,24.92,154329.644
13-08-2023,24.92,24.95,24.22,24.22,155128.377
14-08-2023,24.22,25.3,24.07,25.18,224375.641
15-08-2023,25.18,25.41,23.7,23.91,428393.752
16-08-2023,23.91,24.02,22.36,22.82,480288.719
17-08-2023,22.82,23.42,19.64,21.69,721867.695
18-08-2023,21.69,22.19,20.9,21.34,404956.085
19-08-2023,21.34,22.17,21.3,21.9,155170.451
20-08-2023,21.9,22.02,21.57,21.77,107682.97
21-08-2023,21.77,21.77,20.31,21.19,420731.586
22-08-2023,21.19,21.27,19.26,20.59,381747.159
23-08-2023,20.59,21.81,20.34,21.74,415027.323
24-08-2023,21.74,22.01,20.66,21.05,288210.345
25-08-2023,21.05,21.06,20.1,20.41,239856.983
26-08-2023,20.41,20.44,20.19,20.29,89532.302
27-08-2023,20.29,20.93,20.25,20.79,137893.14
28-08-2023,20.79,20.79,20.03,20.56,233243.859
29-08-2023,20.56,22.05,20.11,21.79,602904.654
30-08-2023,21.79,21.99,20.59,20.82,282928.827
31-08-2023,20.82,21.07,19.42,19.73,375722.097
01-09-2023,19.73,19.94,19.02,19.33,290839.074
02-09-2023,19.33,19.71,19.13,19.5,189427.85
03-09-2023,19.5,19.66,19.23,19.57,112222.467
04-09-2023,19.57,20.04,19.16,19.53,213024.597
05-09-2023,19.53,20.61,19.03,20.28,433853.528
06-09-2023,20.28,20.38,19.14,19.63,301613.641
07-09-2023,19.63,20,19.33,19.91,260591.567
08-09-2023,19.91,20.29,19.36,19.61,211433.904
09-09-2023,19.61,19.61,19.38,19.44,76599.456
10-09-2023,19.44,19.45,17.79,18.23,680324.895
11-09-2023,18.23,18.46,17.35,17.73,652097.981
12-09-2023,17.73,18.83,17.57,17.92,676972.393
13-09-2023,17.92,18.57,17.7,18.39,791838.911
14-09-2023,18.39,19.32,18.38,18.85,527022.031
15-09-2023,18.85,19.51,18.56,19.15,254455.031
16-09-2023,19.15,19.47,18.87,19.12,175737.322
17-09-2023,19.12,19.13,18.63,18.8,128779.221
18-09-2023,18.8,20.14,18.59,19.64,378881.018
19-09-2023,19.64,20.41,19.57,20.02,353512.485
20-09-2023,20.02,20.54,19.8,20.3,281474.123
21-09-2023,20.3,20.3,19.29,19.46,271519.182
22-09-2023,19.46,19.8,19.16,19.42,172812.362
23-09-2023,19.42,19.58,19.29,19.47,111964.09
24-09-2023,19.47,19.68,19.19,19.37,135380.951
25-09-2023,19.37,19.73,19.08,19.39,293529.694
26-09-2023,19.39,19.52,18.84,19.02,150623.385
27-09-2023,19.02,19.47,18.73,19.13,180048.257
28-09-2023,19.13,19.98,19.1,19.97,206501.836
29-09-2023,19.97,20.45,19.84,20.28,224902.839
30-09-2023,20.28,21.8,20.08,21.36,315493.975
01-10-2023,21.36,24.5,21.14,23.88,802669.36
02-10-2023,23.88,24.79,22.91,23.38,765847.525
03-10-2023,23.38,24.8,23.22,23.61,812490.177
04-10-2023,23.61,23.85,22.58,23.13,413139.421
05-10-2023,23.13,23.75,22.54,22.67,296813.055
06-10-2023,22.67,23.76,22.67,23.4,313997.63
